time,des_joint2_to_joint1,des_joint3_to_joint2,des_joint4_to_joint3,des_joint5_to_joint4,des_joint6_to_joint5,des_joint6output_to_joint6,act_joint2_to_joint1,act_joint3_to_joint2,act_joint4_to_joint3,act_joint5_to_joint4,act_joint6_to_joint5,act_joint6output_to_joint6
5.700000,0.545399,0.845536,-0.899863,0.654601,-0.245536,0.099863,0.568739,0.872838,-0.895902,0.631261,-0.272838,0.095902
5.750000,0.538268,0.839124,-0.899144,0.661732,-0.239124,0.099144,0.562944,0.865453,-0.897491,0.637056,-0.265453,0.097491
5.800000,0.530902,0.833087,-0.897815,0.669098,-0.233087,0.097815,0.556786,0.858308,-0.898478,0.643214,-0.258308,0.098478
5.850000,0.523345,0.827463,-0.895882,0.676655,-0.227463,0.095882,0.550127,0.851271,-0.898856,0.649873,-0.251271,0.098856
5.900000,0.515643,0.822285,-0.893358,0.684357,-0.222285,0.093358,0.543416,0.844789,-0.898626,0.656584,-0.244789,0.098626
5.950000,0.507846,0.817587,-0.890259,0.692154,-0.217587,0.090259,0.536317,0.838528,-0.897789,0.663683,-0.238528,0.097789
6.000000,0.500000,0.813397,-0.886603,0.700000,-0.213397,0.086603,0.528861,0.832544,-0.896317,0.671139,-0.232544,0.096317
6.050000,0.492154,0.809741,-0.882413,0.707846,-0.209741,0.082413,0.521488,0.827174,-0.894314,0.678512,-0.227174,0.094314
6.100000,0.484357,0.806642,-0.877715,0.715643,-0.206642,0.077715,0.513839,0.822147,-0.891692,0.686161,-0.222147,0.091692
6.150000,0.476655,0.804118,-0.872537,0.723345,-0.204118,0.072537,0.506122,0.817609,-0.888513,0.693878,-0.217609,0.088513
6.200000,0.469098,0.802185,-0.866913,0.730902,-0.202185,0.066913,0.498398,0.813590,-0.884807,0.701602,-0.213590,0.084807
6.250000,0.461732,0.800856,-0.860876,0.738268,-0.200856,0.060876,0.490623,0.810081,-0.880542,0.709377,-0.210081,0.080542
6.300000,0.454601,0.800137,-0.854464,0.745399,-0.200137,0.054464,0.482917,0.807131,-0.875785,0.717083,-0.207131,0.075785
6.350000,0.447750,0.800034,-0.847716,0.752250,-0.200034,0.047716,0.475333,0.804758,-0.870575,0.724667,-0.204758,0.070575
6.400000,0.441221,0.800548,-0.840674,0.758779,-0.200548,0.040674,0.467900,0.802972,-0.864928,0.732100,-0.202972,0.064928
6.450000,0.435055,0.801675,-0.833381,0.764945,-0.201675,0.033381,0.460665,0.801784,-0.858881,0.739335,-0.201784,0.058881
6.500000,0.429289,0.803407,-0.825882,0.770711,-0.203407,0.025882,0.453660,0.801203,-0.852457,0.746340,-0.201203,0.052457
6.550000,0.423959,0.805736,-0.818224,0.776041,-0.205736,0.018224,0.446652,0.801247,-0.845406,0.753348,-0.201247,0.045406
6.600000,0.419098,0.808645,-0.810453,0.780902,-0.208645,0.010453,0.440593,0.801858,-0.838734,0.759407,-0.201858,0.038734
6.650000,0.414736,0.812118,-0.802618,0.785264,-0.212118,0.002618,0.434563,0.803105,-0.831458,0.765437,-0.203105,0.031458
6.700000,0.410899,0.816133,-0.794766,0.789101,-0.216133,-0.005234,0.428950,0.804943,-0.824007,0.771050,-0.204943,0.024007
6.750000,0.407612,0.820665,-0.786947,0.792388,-0.220665,-0.013053,0.423777,0.807365,-0.816412,0.776223,-0.207365,0.016412
6.800000,0.404894,0.825686,-0.779209,0.795106,-0.225686,-0.020791,0.419066,0.810367,-0.808699,0.780934,-0.210367,0.008699
6.850000,0.402763,0.831165,-0.771598,0.797237,-0.231165,-0.028402,0.414880,0.813888,-0.800992,0.785120,-0.213888,0.000992
6.900000,0.401231,0.837068,-0.764163,0.798769,-0.237068,-0.035837,0.411195,0.817973,-0.793222,0.788805,-0.217973,-0.006778
6.950000,0.400308,0.843359,-0.756949,0.799692,-0.243359,-0.043051,0.408062,0.822552,-0.785510,0.791938,-0.222552,-0.014490
7.000000,0.400000,0.850000,-0.750000,0.800000,-0.250000,-0.050000,0.405494,0.827613,-0.777881,0.794506,-0.227613,-0.022119
7.050000,0.400308,0.856949,-0.743359,0.799692,-0.256949,-0.056641,0.403506,0.833139,-0.770367,0.796494,-0.233139,-0.029633
7.100000,0.401231,0.864163,-0.737068,0.798769,-0.264163,-0.062932,0.402097,0.839181,-0.762916,0.797903,-0.239181,-0.037084
7.150000,0.402763,0.871598,-0.731165,0.797237,-0.271598,-0.068835,0.401330,0.845363,-0.755966,0.798670,-0.245363,-0.044034
7.200000,0.404894,0.879209,-0.725686,0.795106,-0.279209,-0.074314,0.401153,0.851993,-0.749160,0.798847,-0.251993,-0.050840
7.250000,0.407612,0.886947,-0.720665,0.792388,-0.286947,-0.079335,0.401585,0.858919,-0.742666,0.798415,-0.258919,-0.057334
7.300000,0.410899,0.894766,-0.716133,0.789101,-0.294766,-0.083867,0.402619,0.866082,-0.736537,0.797381,-0.266082,-0.063463
7.350000,0.414736,0.902618,-0.712118,0.785264,-0.302618,-0.087882,0.404265,0.873492,-0.730774,0.795735,-0.273492,-0.069226
7.400000,0.419098,0.910453,-0.708645,0.780902,-0.310453,-0.091355,0.406593,0.881350,-0.725243,0.793407,-0.281350,-0.074757
7.450000,0.423959,0.918224,-0.705736,0.776041,-0.318224,-0.094264,0.409275,0.888659,-0.720616,0.790725,-0.288659,-0.079384
7.500000,0.429289,0.925882,-0.703407,0.770711,-0.325882,-0.096593,0.412649,0.896419,-0.716230,0.787351,-0.296419,-0.083770
7.550000,0.435055,0.933381,-0.701675,0.764945,-0.333381,-0.098325,0.416559,0.904195,-0.712364,0.783441,-0.304195,-0.087636
7.600000,0.441221,0.940674,-0.700548,0.758779,-0.340674,-0.099452,0.420991,0.911953,-0.709038,0.779009,-0.311953,-0.090962
7.650000,0.447750,0.947716,-0.700034,0.752250,-0.347716,-0.099966,0.425905,0.919628,-0.706277,0.774095,-0.319628,-0.093723
